posts,angry,fear,happy,neutral,sad,surprise,type
#fate逆袭#！fate命中注定的fate！要有打歌舞台了吗啊啊啊 ,0.21,0.05,0.34,0.05,0.19,0.26,ENFP
#[name]未live曜北斗巡回演唱会# [num].[num]武汉站最爱的《最美的太阳+天下》，圆满了 青涩时代的天使[num]的微博视频 ,0.0,0.0,0.79,0.11,0.0,0.05,ISFJ
😯中午肝数据被领导发现了，哎嘛😑我就是想尽快把项目做完，结果被当成敬业了😐我想赶紧做完这样就有时间写笔记了😐 ,0.51,0.0,0.0,0.07,0.3,0.06,INFP
重返未来[num]接肉鸽/黄昏的音序/局外演绎代肝，拿新角色罗蕾莱[num]荒原装扮[num]全奖励[num]，有信誉可走pt  ,0.0,0.0,0.46,0.52,0.0,0.0,INTP
最近在重温《我的女孩》，我发现古早韩剧最好看的点在于，观众总会比男主角先喜欢上女主角。 ,0.0,0.0,0.51,0.51,0.07,0.0,INFJ
我知道你，[num]年给墨茶哭坟买了一堆草莓最后全烂了，[num]年你心疼[name]，却不知道他姐姐辍学打工给他上学，他的王者vip等级比你都高，[num]年你喜欢[name]书院小少爷，[num]年你又心疼上一个自愿转账跳江的恋爱脑，前几天还在到处刷屏[name]爷爷种子被偷粮食危机的你今天就点上外卖送给一个已经去世的人... ,0.17,0.0,0.25,0.07,0.52,0.0,ENFP
最近经历了这些，只想抱着[name]得衣服，抱着喜欢的人喊宝宝生命之珍贵。 ,0.0,0.0,0.73,0.0,0.16,0.0,INFP
减肥减到啥程度可以不减了那就是找一件性感的抹胸一条紧身超短裤穿上照照镜子 看看肚子上有赘肉不？胳膊腿上后背上有肥肉不？没有就可以不减了 不要穿衣显瘦 要本身就能驾驭各种衣服当然也不能太瘦 我不考虑健不健康的问题 只从美观上来说 女生太瘦没女人味 撑不起来衣服 ,0.09,0.0,0.31,0.31,0.38,0.09,ESTJ
你要不要脸你要不要脸你要不要脸你要不要脸你要不要脸你要不要脸你要不要脸你要不要脸你要不要脸我的评价是不如[num]我的评价是不如[num]我的评价是不如[num]我的评价是不如[num]我的评价是不如[num]@nct_official ,1.0,0.0,0.0,0.15,0.19,0.0,INTP
咱就是说 当发现我不回复微信的时候就不用再打电话了，因为没有人想在上班的前一天提前知道自己到单位要干嘛…（我在想如何巧妙地把这段话让我领导看到 ,0.49,0.0,0.09,0.27,0.08,0.14,ENFP
